year,month,date_of_month,day_of_week,births
2007,8,9,4,13080
2007,8,10,5,12833
2007,8,11,6,9100
2007,8,12,7,8130
2007,8,13,1,11446
2007,8,14,2,13037
2007,8,15,3,13005
2007,8,16,4,13126
2007,8,17,5,12871
2007,8,18,6,9097
2007,8,19,7,7809
2007,8,20,1,12030
2007,8,21,2,13236
2007,8,22,3,12855
2007,8,23,4,12918
2007,8,24,5,12736
2007,8,25,6,9048
2007,8,26,7,7977
2007,8,27,1,11844
2007,8,28,2,13465
2007,8,29,3,12873
2007,8,30,4,13232
2007,8,31,5,13177
2007,9,1,6,9090
2007,9,2,7,8056
2007,9,3,1,7950
2007,9,4,2,12219
2007,9,5,3,13730
2007,9,6,4,13658
2007,9,7,5,13465
2007,9,8,6,9200
2007,9,9,7,8184
2007,9,10,1,12227
2007,9,11,2,13238
2007,9,12,3,12818
2007,9,13,4,12857
2007,9,14,5,13211
2007,9,15,6,9470
2007,9,16,7,8175
2007,9,17,1,12412
2007,9,18,2,13233
2007,9,19,3,13244
2007,9,20,4,13435
2007,9,21,5,13034
2007,9,22,6,9397
2007,9,23,7,8341
2007,9,24,1,12292
2007,9,25,2,13695
2007,9,26,3,13131
2007,9,27,4,12965
2007,9,28,5,12925
2007,9,29,6,9043
2007,9,30,7,7869
2007,10,1,1,12109
2007,10,2,2,13189
2007,10,3,3,12756
2007,10,4,4,12960
2007,10,5,5,12589
2007,10,6,6,8725
2007,10,7,7,7621
2007,10,8,1,11298
2007,10,9,2,12580
2007,10,10,3,12515
2007,10,11,4,12304
2007,10,12,5,12460
2007,10,13,6,8526
2007,10,14,7,7611
2007,10,15,1,11394
2007,10,16,2,12477
2007,10,17,3,12297
2007,10,18,4,12316
2007,10,19,5,12121
2007,10,20,6,8563
2007,10,21,7,7331
2007,10,22,1,11446
2007,10,23,2,12571
2007,10,24,3,12364
2007,10,25,4,12220
2007,10,26,5,11996
2007,10,27,6,8292
2007,10,28,7,7522
2007,10,29,1,11143
2007,10,30,2,12177
2007,10,31,3,10601
2007,11,1,4,12559
2007,11,2,5,12056
2007,11,3,6,8434
2007,11,4,7,7392
2007,11,5,1,11402
2007,11,6,2,12345
2007,11,7,3,12109
2007,11,8,4,12233
2007,11,9,5,12185
2007,11,10,6,8529
2007,11,11,7,7458
2007,11,12,1,11423
2007,11,13,2,12066
2007,11,14,3,12258
2007,11,15,4,12636
2007,11,16,5,12708
2007,11,17,6,8559
2007,11,18,7,7371
2007,11,19,1,12487
2007,11,20,2,13252
2007,11,21,3,11818
2007,11,22,4,7363
2007,11,23,5,9332
2007,11,24,6,7916
2007,11,25,7,7290
2007,11,26,1,11498
2007,11,27,2,12930
2007,11,28,3,12207
2007,11,29,4,12180
2007,11,30,5,11750
2007,12,1,6,8038
2007,12,2,7,7216
2007,12,3,1,11275
2007,12,4,2,12293
2007,12,5,3,12307
2007,12,6,4,11892
2007,12,7,5,11424
2007,12,8,6,8189
2007,12,9,7,7333
2007,12,10,1,11345
2007,12,11,2,12407
2007,12,12,3,12510
2007,12,13,4,11948
2007,12,14,5,12143
2007,12,15,6,8447
2007,12,16,7,7309
2007,12,17,1,12049
2007,12,18,2,13300
2007,12,19,3,13072
2007,12,20,4,13558
2007,12,21,5,13185
2007,12,22,6,8879
2007,12,23,7,7082
2007,12,24,1,7448
2007,12,25,2,6443
2007,12,26,3,10735
2007,12,27,4,13762
2007,12,28,5,13918
2007,12,29,6,9365
2007,12,30,7,7679
2007,12,31,1,10018
2008,1,1,2,7790
2008,1,2,3,10420
2008,1,3,4,12134
2008,1,4,5,12433
2008,1,5,6,8760
2008,1,6,7,7505
2008,1,7,1,11371
2008,1,8,2,12248
2008,1,9,3,11391
2008,1,10,4,12318
2008,1,11,5,12048
2008,1,12,6,8399
2008,1,13,7,7355
2008,1,14,1,11344
2008,1,15,2,12101
2008,1,16,3,11697
2008,1,17,4,12077
2008,1,18,5,12015
2008,1,19,6,8301
2008,1,20,7,7338
2008,1,21,1,10741
2008,1,22,2,12104
